,sgfFile,PB,PW,turnNumber,nextMove,nextMoveColor,scoreLead,scoreLead,nextScoreGain,nextWinrateGain,move,pv,prior,humanPrior
24,Test/66884094-179-seahorse1-Leptin.sgf,Leptin,seahorse1,47,P18,W,2.75787419,2.75880753,-7.62678841,-0.228706388999999,S16,"['S16', 'C6', 'E7', 'D7', 'E8', 'D6', 'E6', 'F4', 'O15']",0.992723525,0.9252704380000001
25,Test/66885017-230-seahorse1-loseyourself916.sgf,loseyourself916,seahorse1,51,M5,W,-6.88625249,-6.83763877,-6.019767019,-0.308877324,Q10,"['Q10', 'P11', 'R10', 'S8', 'S9', 'S7', 'T6']",0.9901497360000001,0.430221915
26,Test/66885017-230-seahorse1-loseyourself916.sgf,loseyourself916,seahorse1,99,M6,W,-12.7627905,-13.1212697,-7.394312859999999,-0.10757185649999901,N5,"['N5', 'O5', 'L4', 'K5', 'O6', 'M4', 'L5']",0.0332979709,0.145483777
27,Test/66886734-054-JeffXu-seahorse1.sgf,seahorse1,JeffXu,27,D6,W,0.174717845,0.168170964,-7.482450915,-0.41952269799999903,E8,"['E8', 'E15', 'F15', 'E14', 'C9', 'B8']",0.9955770970000001,0.920895338
28,Test/66886734-054-JeffXu-seahorse1.sgf,seahorse1,JeffXu,37,E4,W,5.22102926,5.17377543,-7.414284240000001,-0.10707780099999901,C3,"['C3', 'E15', 'F15', 'E14', 'C13', 'E13', 'C11', 'E11', 'K16', 'E4']",0.58996278,0.790857911
29,Test/66887707-308-seahorse1-laju999.sgf,laju999,seahorse1,52,J2,B,-4.80098627,-4.29102882,-6.21998493,-0.11482664520000001,F2,"['F2', 'D9', 'H2', 'R3', 'N4', 'E9']",0.425454408,0.227574408
30,Test/66887707-308-seahorse1-laju999.sgf,laju999,seahorse1,63,B4,W,-15.6808947,-16.3283729,-12.307281459999999,-0.31434289049999903,B2,"['B2', 'B5', 'B6', 'D1', 'A5']",0.5008739830000001,0.21573686600000003
31,Test/66887707-308-seahorse1-laju999.sgf,laju999,seahorse1,66,E1,B,-4.23370738,-4.16889948,-8.346858619999999,-0.2289221561,A2,"['A2', 'J5', 'J4', 'H4', 'H5', 'H6', 'G5', 'E7', 'E8', 'F8']",0.597517788,0.10231848800000001
32,Test/66892488-144-seahorse1-sun397145.sgf,sun397145,seahorse1,109,L17,W,-27.2963799,-29.0298073,-16.033591400000002,-0.13417072870000002,R13,"['R13', 'S11', 'O9', 'P10', 'S10']",0.452121258,0.39014643400000004
33,Test/66892488-144-seahorse1-sun397145.sgf,sun397145,seahorse1,119,Q14,W,1.47201341,1.5360181800000001,-14.947252690000001,-0.420064535,R15,"['R15', 'R14', 'S16', 'S15', 'R16', 'S14']",0.899599969,0.22589962200000002
34,Test/66892989-270-seahorse1-xinli20230324.sgf,xinli20230324,seahorse1,120,P10,B,42.7707577,43.0569264,-42.633258424999994,-0.45921487799999905,J6,"['J6', 'H6', 'K6', 'L3', 'K4', 'M4', 'N2', 'M2', 'K2', 'P1', 'N1']",0.814197123,0.325259566
35,Test/66908439-126-Jh100-seahorse1.sgf,seahorse1,Jh100,29,D18,W,4.12364666,4.11646922,-7.37961904,-0.14274435300000002,D17,"['D17', 'D18', 'C18', 'O17', 'N16', 'L16', 'N17']",0.9809112550000001,0.7851268650000001
36,Test/66925768-099-seahorse1-xss801.sgf,xss801,seahorse1,45,S9,W,1.4075131,1.27182437,-3.39996552,-0.19945889299999903,O13,"['O13', 'C12', 'B13', 'N14']",0.37706309600000004,0.33313515800000004
37,Test/66927213-308-seahorse1-tmswngr.sgf,tmswngr,seahorse1,135,J13,W,-5.83193771,-6.5126615999999995,-21.06611191,-0.8003036173,J12,"['J12', 'K13', 'N10', 'M11', 'M10']",0.219408855,0.217935801
38,Test/66927213-308-seahorse1-tmswngr.sgf,tmswngr,seahorse1,138,G7,B,17.0137808,22.968652,-30.589339,-0.9006508332000001,F7,"['F7', 'G7', 'H11', 'J12', 'M10', 'G11', 'F12']",0.34572953,0.27460837400000004
39,Test/66927213-308-seahorse1-tmswngr.sgf,tmswngr,seahorse1,139,K6,W,-13.5755582,-13.6589916,-25.4439712,-0.7951639992,F12,"['F12', 'K12', 'L13', 'M11', 'L11']",0.897451043,0.330770463
